Feature,Importance
avg_watch_time_per_day,0.2043738447608578
engagement_score,0.15681317761683827
watch_hours,0.13424996607739415
last_login_days,0.07081931782946788
number_of_profiles,0.042052319505249035
is_inactive_0,0.041801663423004815
is_inactive_1,0.03828581127273887
fee_per_profile,0.037939357479440126
login_category_Inactive,0.03622144575712702
is_low_watch_time_0,0.02838864345243077
is_low_watch_time_1,0.025045725623253703
monthly_fee,0.020071790881588916
subscription_type_Basic,0.015839362575762697
payment_method_Crypto,0.015031487182237086
login_category_Less Active,0.01443400515867548
payment_method_Gift Card,0.013553275773647493
age,0.012781070715404753
login_category_Active,0.008706465920095866
payment_method_Debit Card,0.00782785341812611
subscription_type_Premium,0.006480825592804606
payment_method_PayPal,0.00578858732742296
payment_method_Credit Card,0.005472241659064771
subscription_type_Standard,0.005088324399613937
gender_Other,0.002727813680511761
gender_Male,0.002670455135549783
gender_Female,0.002562598890835743
region_South America,0.0024453937237738387
device_Mobile,0.0023320004378084547
device_Desktop,0.0023135321696398747
region_Oceania,0.002301900606516457
age_group_36-50,0.002273108639830248
device_TV,0.0021627044281861485
favorite_genre_Drama,0.0021621244303717414
device_Laptop,0.0021337524795851065
device_Tablet,0.0021255158293514743
favorite_genre_Comedy,0.002062118241951281
region_Africa,0.002037092945668774
region_North America,0.0020237850640604763
region_Europe,0.0020019802613474224
favorite_genre_Action,0.001976590538305708
age_group_51+,0.001912072012731746
favorite_genre_Horror,0.0019118189639981125
favorite_genre_Sci-Fi,0.0018928379916458517
age_group_18-25,0.001844775507166501
favorite_genre_Romance,0.0018119285125558784
age_group_26-35,0.0018038299041838938
region_Asia,0.001780688146387096
favorite_genre_Documentary,0.0016630180557893359
